35993098000100,Z.A. DIGITAL DE SAO PAULO SISTEMA DE ESTACIONAMENTO ROTATIVO S.A.,ZAD SAO PAULO                           ,AV PRES JUSCELINO KUBITSCHEK,1830, ANDAR 2 BLOCO 3,VILA NOVA CONCEICAO,SÃO PAULO,,Brasil,65002199,,82.99-7-99 /74.90-1-04,,Lucro Real,,,,,,
86783768005406,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,BANCO BBD CANELA - WP,R JOAO DAS BOTAS ,195,,CANELA,SALVADOR,,Brasil,10304003196,,52.23-1-00,,Lucro Real,,,,,,
86783768004949,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,HOSP BAHIA - WP,AV PROFESSOR MAGALHAES NETO ,1681,,PITUBA,SALVADOR,,Brasil,10304003436,,52.23-1-00,,Lucro Real,,,,,,
86783768004515,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,CE MED LINUS PAULING - WP,R ALTINO SERBERTO DE BARROS,119,,ITAIGARA,SALVADOR,,Brasil,10304003352,,52.23-1-00,,Lucro Real,,,,,,
86783768002733,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ED COM TORRE DO PARQUE - WP,AV ANTONIO CARLOS MAGALHAES ,771,COND.TORRE DO PARQUE,ITAIGARA,SALVADOR,,Brasil,10304001521,,52.23-1-00,,Lucro Real,,,,,,
86783768002229,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,BANCO BBD MERCES - WP,AV SETE DE SETEMBRO,136,,MERCES,SALVADOR,,Brasil,10304001299,,52.23-1-00,,Lucro Real,,,,,,
86783768000528,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,TERR S JOAQUIM - WP,AV JEQUITAIA ,SN,,AGUA DE MENINOS,SALVADOR,,Brasil,10304000382_SUSPENSA,,52.23-1-00,,Lucro Real,,,,,,
86783768000366,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,BANCO BBD GARCIA - WP,AV LEOVIGILDO FILGUEIRAS ,227,,GARCIA,SALVADOR,,Brasil,10304000796_SUSPENSA,,52.23-1-00,,Lucro Real,,,,,,
86.783.768/0001-02,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ADMINISTRACAO E SERVICOS - BA,R FREDERICO SIMOES,125,EDIF LIZ EMPRESARIAL SALA 1501,CAMINHO DAS ARVORES,SALVADOR,,Brasil,10304000127,,52.23-1-00,,Lucro Real,,,,,,
86783768009908,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,TERR ARTHURZINHO - WP,R SEBASTIAO DA HORA ,SN,,GRUTA DE LOURDES,MACEIÓ,,Brasil,901387612,,52.23-1-00,,Lucro Real,,,,,,
86783768006992,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,HOSP S LUCAS - WP,R MAXARANGUAPE,615,,TIROL,NATAL,,Brasil,1863967,,52.23-1-00,,Lucro Real,,,,,,
86783768005830,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,BANCO CEF NATAL - WP,AV   PRUDENTE DE MORAIS,4064,,LAGOA NOVA,NATAL,,Brasil,1798960,,52.23-1-00,,Lucro Real,,,,,,
86783768005678,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,SHOP CIDADE JARDIM - WP,AV ENGENHEIRO ROBERTO FREIRE,2920,,CAPIM MACIO,NATAL,,Brasil,1758292,,52.23-1-00,,Lucro Real,,,,,,
21.542.316/0001-85,SCP - ESTACIONAMENTO SHOPPING LEBLON,SHOP SCP LEBLON - RIOP,AV AFRANIO DE MELO FRANCO,290,,LEBLON ,RIO DE JANEIRO,,Brasil,6219136_BAIXADA,,52.23-1-00,,Lucro Presumido,,,,,,
21146637000160,SCP - ESTACIONAMENTO SHOPPING BAY MARKET CENTER  ,SHOP SCP BAY MARKET,AV VISCONDE DO RIO BRANCO,360,,CENTRO ,NITERÓI,,Brasil,3000084,,52.23-1-00,,Lucro Presumido,,,,,,
23377650000156,SCP - ESTACIONAMENTO RECREIO SHOPPING CENTER ,SHOP SCP RECREIO,AV DAS AMERICAS,19019,,RECREIO DOS BANDEIRANTES,RIO DE JANEIRO,,Brasil,6583725_BAIXADA,,52.23-1-00,,Lucro Presumido,,,,,,
21.136.976/0001-66,SCP - ESTACIONAMENTO DO MOGI SHOPPING ,SHOP SCP MOGI,AV VEREADOR NARCISO YAGUE GUIMARAES,1001,,VILA PARTENIO,MOGI DAS CRUZES,,Brasil,776734,,52.23-1-00,,Lucro Presumido,,,,,,
68.969.419/0001-90,SAEPART SOCIEDADE DE ADMINISTRACAO, EMPREENDIMENTOS E PARTICIPACOES LTDA ,ADM SELOS,AV PRESIDENTE JUSCELINO KUBITSCHEK,ANDAR 2 ANDAR BLOCO 3 ,VILA NOVA CONCEICAO,SÃO PAULO ,,Brasil,"21169020_BAIXADA
24887730","21169020_BAIXADA
24887730",74.90-1-04,,Lucro Real,,,,,,
47432950000159,RIOPARK ESTACIONAMENTOS E GARAGENS LTDA ,ORG PUB CONSORCIO CCN - INATIVO,R DOM GERARDO,64,ANDAR 3 ,CENTRO ,RIO DE JANEIRO,,Brasil,"681792
0117560_BAIXADA",,52.23-1-00,,Lucro Real,,,,,,
47432950000310,RIOPARK ESTACIONAMENTOS E GARAGENS LTDA ,RODRIGUES ALVES,R RODRIGUES ALVES,167,73,CAIS DO PORTO ,RIO DE JANEIRO,,Brasil,536865,,52.23-1-00,,Lucro Real,,,,,,
52024452013276,PRIMEIRA ESTACIONAMENTOS LTDA ,ED GAR CLINICAS,AV DOUTOR ENEAS CARVALHO DE AGUIAR,260,,CERQUEIRA CESAR ,SÃO PAULO ,,Brasil,60596953,,52.23-1-00,,Lucro Real,,,,,,
52024452000107,PRIMEIRA ESTACIONAMENTOS LTDA ,NÃO POSSUI GARAGEM ,AV PRES JUSCELINO KUBITSCHEK,1830,ANDAR 2 BLOCO 3,VILA NOVA CONCEICAO,SÃO PAULO ,,Brasil,87901544,,52.23-1-00,,Lucro Real,,,,,,
52.024.452/0134-38,PRIMEIRA ESTACIONAMENTOS LTDA ,ZONA AZUL ITATIBA,R COMENDADOR FRANCO,760,SALA 1,CENTRO,ITATIBA,,Brasil,37352,,52.23-1-00,,Lucro Real,,,,,,
21617239000185,PRACA EDG CONGONHAS EMPREENDIMENTOS S.A.,PRACA EDG CONGONHAS EMPREENDIMENTOS S.A.,AV PRESIDENTE JUSCELINO KUBITSCHEK,1830,,VILA NOVA CONCEIÇÃO,SÃO PAULO ,,Brasil,51633825,,52.23-1-00,,Lucro Real,,,,,,
23299937000105,PARKING TECNOLOGIA DA INFORMACAO LTDA ,PARKING TI,AV PRESIDENTE JUSCELINO KUBITSCHEK,1830,ANDAR 2 ANDAR BLOCO 3 ,VILA NOVA CONCEICAO,SÃO PAULO ,,Brasil,53199049,,62.09-1-00,,Lucro Real,,,,,,
19395452000571,LOOP GESTAO DE PATIOS S.A.  ,NÃO POSSUI GARAGEM ,R HENRIQUE SERTORIO,564,,TATUAPE ,SÃO PAULO ,,Brasil,63872862,,74.90-1-04,,Lucro Real,,,,,,
19395452000490,LOOP GESTAO DE PATIOS S.A.  ,NÃO POSSUI GARAGEM ,R FRADIQUE COUTINHO,377,,PINHEIROS,SÃO PAULO ,,Brasil,58074392,,74.90-1-04,,Lucro Real,,,,,,
19395452000229,LOOP GESTAO DE PATIOS S.A.  ,NÃO POSSUI GARAGEM ,R ALVORADA,1289,CONJ 1310 A 1317  ,VILA OLIMPIA ,SÃO PAULO ,,Brasil,52402371,,74.90-1-04,,Lucro Real,,,,,,
19395452000148,LOOP GESTAO DE PATIOS S.A.  ,LOOP,R PROJETADA UM,143,SALA 02 ,VILA SAO FRANCISCO ,MOGI DAS CRUZES ,,Brasil,753416,N/A,74.90-1-04,,Lucro Real,,,,,,
19395452000300,LOOP GESTAO DE PATIOS S.A.  ,NÃO POSSUI GARAGEM ,ROD BR-365 (SAIDA PATROCINIO),SN,KM 610 A KM ANEL VIARIO KM 17.5  ,CONJUNTO ALVORADA ,UBERLÂNDIA,,Brasil,NÃO POSSUI CCM,,74.90-1-04,,Lucro Real,,,,,,
31000531000108,LOOP AC PARTICIPACOES LTDA ,LOOP AC PARTICIPACOES,AV PRESIDENTE JUSCELINO KUBITSCHEK,1830,ANDAR 2 ANDAR BLOCO 3 ,VILA NOVA CONCEICAO,SÃO PAULO ,,Brasil,60240032,,74.90-1-04,,Lucro Real,,,,,,
8710305000107,I-PARK ESTACIONAMENTOS INTELIGENTES S/A ,ED GAR I-PARK CATEDR,R ARCIPRESTE PAIVA,SN,,CENTRO,FLORIANÓPOLIS,,Brasil,4887913,,52.23-1-00,,Lucro Real,,,,,,
1808151006093,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP SIRIO LIBANES BRASILIA,Q SGAS ,613,SN CONJ   D,ASA SUL,BRASÍLIA,,Brasil,N/A,754966500354,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0016-10,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,CE MED VIA BRASIL - HP,ST SEP/SUL  ,SN,QD 710/910 CONJUNTO D UN. 1 ,ASA   SUL,BRASÍLIA,,Brasil,N/A,754966500273,52.23-1-00,,Lucro Real,,,,,,
1808151004392,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,AERO SALGADO FILHO - TPS1,AV SEVERO DULLIUS,90010,,ANCHIETA,PORTO ALEGRE,,Brasil,28154223,,52.23-1-00,,Lucro Real,,,,,,
1808151002853,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,INST EN POSITIVO,R PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA,5300,,CIDADE INDUSTRIAL,CURITIBA,,Brasil,6681502,,52.23-1-00,,Lucro Real,,,,,,
1808151002004,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,CE COM CCI - HP,R MARECHAL DEODORO,630,,CENTRO,CURITIBA,,Brasil,6190035,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0063-36,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HP TAUBATE,R MONSENHOR SIQUEIRA,169,,CENTRO,TAUBATÉ,,Brasil,84384,,52.23-1-00,,Lucro Real,,,,,,
1808151006255,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP GERAL DE PEDREIRA,R JOAO FRANCISCO DE MOURA,251,,VILA CAMPO GRANDE,SÃO PAULO ,,Brasil,62371096,,52.23-1-00,,Lucro Real,,,,,,
1808151006174,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SHOPPING ATRIUM SANTO ANDRE,R GIOVANNI BATTISTA PIRELLI,155,,VILA HOMERO THON,SANTO ANDRÉ,,Brasil,265961,,52.23-1-00,,Lucro Real,,,,,,
1808151005798,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,AERO CONGONHAS,AV WASHINGTON LUIS,SN,,SANTO AMARO,SÃO PAULO ,,Brasil,61473073,,52.23-1-00,,Lucro Real,,,,,,
1808151005364,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,AMERICANA,R RUI BARBOSA,509,,CENTRO,AMERICANA,,Brasil,103107,,52.23-1-00,,Lucro Real,,,,,,
1808151005445,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,MONO SEDE SANTANDER,AV PRESIDENTE JUSCELINO KUBITSCHEK,2041,,VILA NOVA CONCEICAO,SÃO PAULO ,,Brasil,61378437,,52.23-1-00,,Lucro Real,,,,,,
1808151005607,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,MONO SANTANDER RADAR,R AMADOR BUENO,474,,SANTO AMARO,SÃO PAULO ,,Brasil,61378429,,52.23-1-00,,Lucro Real,,,,,,
1808151005526,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,MONO SANTANDER GERACAO DIGITAL,AV INTERLAGOS,3501,,JARDIM UMUARAMA,SÃO PAULO ,,Brasil,61378410,,52.23-1-00,,Lucro Real,,,,,,
1808151005283,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP ESTADUAL DE SOROCABA,ROD RAPOSO TAVARES,SN,,BRIGADEIRO TOBIAS,SOROCABA,,Brasil,358597,,52.23-1-00,,Lucro Real,,,,,,
1808151005100,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP ESTADUAL DE S. JOSE DOS CAMPOS,R GOIANIA,SN,,PARQUE INDUSTRIAL,SÃO JOSÉ DOS CAMPOS,,Brasil,341171,,52.23-1-00,,Lucro Real,,,,,,
1808151005011,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,INST EN SENAC SAO MIGUEL,AV MARECHAL TITO,1458,,SAO MIGUEL PAULISTA,SÃO PAULO ,,Brasil,59293934,,52.23-1-00,,Lucro Real,,,,,,
1808151004716,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SAO PAULO,AV PRESIDENTE JUSCELINO KUBITSCHEK,1830,,VILA NOVA CONCEICAO,SÃO PAULO ,,Brasil,55171672,,52.23-1-00,,Lucro Real,,,,,,
1808151004635,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP BENEFICENCIA S JOSE ,R MARTINIANO DE CARVALHO,965,,BELA VISTA,SÃO PAULO ,,Brasil,53999495,,52.23-1-00,,Lucro Real,,,,,,
1808151004554,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP BENEFICENCIA S JOAQUIM ,R MAESTRO CARDIM,769,,LIBERDADE,SÃO PAULO ,,Brasil,53999479,,52.23-1-00,,Lucro Real,,,,,,
1808151004040,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HP MAUA,R LUIS LACAVA,199,,VILA BOCAINA,MAUÁ,,Brasil,58611,,52.23-1-00,,Lucro Real,,,,,,
1808151003310,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,ITATIBA,R COMENDADOR FRANCO,760,,CENTRO,ITATIBA,,Brasil,27612,,52.23-1-00,,Lucro Real,,,,,,
1808151003159,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SHOP PATIO PAULISTA,R TREZE DE MAIO,1947,,BELA VISTA,SÃO PAULO ,,Brasil,48853550,,52.23-1-00,,Lucro Real,,,,,,
1808151003078,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HP SANTA BARBARA D OESTE,R DUQUE DE CAXIAS,847,,CENTRO,Santa Bárbara d'Oeste,,Brasil,35496,,52.23-1-00,,Lucro Real,,,,,,
1808151002934,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,ADM E SERVICOS SP,R LIBERO BADARO ,293,10 ANDAR,CENTRO,SÃO PAULO ,,Brasil,48733016,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0018-81,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,ED GAR POMPEIA 1380 - HP,AV POMPEIA ,1380,,VILA POMPEIA,SÃO PAULO ,,Brasil,42058597,,52.23-1-00,,Lucro Real,,,,,,
1808151001458,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,ED COM JATOBA - HP,R TAPEROA,380,,BROOKLIN   NOVO,SÃO PAULO ,,Brasil,41604385,,52.23-1-00,,Lucro Real,,,,,,
1808151001377,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,MOGI DAS CRUZES,R MAJOR PINHEIRO FRANCO,258,,CENTRO,MOGI DAS CRUZES ,,Brasil,584207,,52.23-1-00,,Lucro Real,,,,,,
1808151000990,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HP JACAREI,AV ORLANDO HARDT,214,,CENTRO,JACAREÍ,,Brasil,39078,,52.23-1-00,,Lucro Real,,,,,,
1808151001105,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,RIO CLARO,R 02 ,1625,,CENTRO,RIO CLARO,,Brasil,37251,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0006-48,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,LIMEIRA        ,R TREZE DE MAIO,7,,CENTRO,LIMEIRA,,Brasil,32599,,52.23-1-00,,Lucro Real,,,,,,
1808151000486,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HP ARARAQUARA,AV DUQUE DE CAXIAS,738,,CENTRO,ARARAQUARA,,Brasil,1117931,,52.23-1-00,,Lucro Real,,,,,,
1808151000567,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SAO CARLOS,R MAJOR JOSE INACIO,1958,,CENTRO,SÃO CARLOS,,Brasil,44318,,52.23-1-00,,Lucro Real,,,,,,
1808151000303,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SANTO ANDRE,R ANTONIO CARDOSO FRANCO,497,,CASA BRANCA,SANTO ANDRÉ,,Brasil,120729,,52.23-1-00,,Lucro Real,,,,,,
1808151000133,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,MATRIZ,AV PRESIDENTE JUSCELINO KUBITSCHEK,1830,2 ANDAR,VILA NOVA CONCEICAO,SÃO PAULO ,,Brasil,25744747,,52.23-1-00,,Lucro Real,,,,,,
1808151003230,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,AERO VITORIA,AV FERNANDO FERRARI,3800,,AEROPORTO,VITÓRIA,,Brasil,1218515_BAIXADA,,52.23-1-00,,Lucro Real,,,,,,
1808151005879,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,BELO HORIZONTE - ZA,R DA BAHIA ,360,ANDAR 6,CENTRO,BELO HORIZONTE,,Brasil,4868480021,,52.23-1-00,,Lucro Real,,,,,,
1808151003906,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,JUIZ DE FORA,R OLEGARIO MACIEL,45,,SANTA HELENA,JUIZ DE FORA,,Brasil,149828004,,52.23-1-00,,Lucro Real,,,,,,
1808151002772,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,BELO HORIZONTE,AV ANTONIO ABRAHAO CARAM,1001,,SAO JOSE,BELO HORIZONTE,,Brasil,4868480013,,52.23-1-00,,Lucro Real,,,,,,
1808151005950,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SALVADOR,R DOUTOR JOSE PEROBA,325,,STIEP,SALVADOR,,Brasil,67732900179,,52.23-1-00,,Lucro Real,,,,,,
1808151004201,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,AERO MACEIO,ROD RODOVIA BR 104,SN,,PREFEITO ANTONIO LINS DE SOUZA,RIO LARGO,,Brasil,2496,,52.23-1-00,,Lucro Real,,,,,,
1808151003744,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,AERO RECIFE,PC MINISTRO SALGADO FILHO ,SN,,IMBIRIBEIRA,RECIFE,,Brasil,5267269,,52.23-1-00,,Lucro Real,,,,,,
1808151003663,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,AERO JOAO PESSOA,AER AEROPORTO INTERNACIONAL PRESIDENTE CASTRO PINTO ,SN,,JD AEROPORTO,BAYEUX,,Brasil,112621,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0065-06,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP SANTA CASA DE CURITIBA,PC RUI BARBOSA,245,,CENTRO,CURITIBA,,Brasil,11018657763,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0066-89,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP GERAL DE PIRAJUSSARA,AV IBIRAMA,1214,,PARQUE INDUSTRIAL DACI,TABOÃO DA SERRA,,Brasil,52703,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0064-17,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HP SAO BERNARDO DO CAMPO,AL DONA TEREZA CRISTINA,163,,NOVA PETROPOLIS,SÃO BERNARDO DO CAMPO,,Brasil,280195,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0067-60,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP EST DE DIADEMA - GOV OREST QUERCIA,AV JOSE BONIFACIO,1641,,CONCEICAO,DIADEMA,,Brasil,87471,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0068-40,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP GERAL DE GUARULHOS,AL DOS LIRIOS,200,,PARQUE CECAP,GUARULHOS,,Brasil,431347,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0069-21,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,CE COM WTC SP,AV DAS NACOES UNIDAS,12551,TERREO12555/12559,BROOKLIN PAULISTA,SÃO PAULO ,,Brasil,69177813,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0072-27,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP ESTADUAL SUMARÉ,AV DA AMIZADE,2400,,PARQUE JATOBA,SUMARÉ,,Brasil,EM ANDAMENTO,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0073-08,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP ESPACO TERRA HOTEL,EST JOSE MATHIAS DE CAMARGO,491,,INVERNADA,EMBU DAS ARTES,,Brasil,246062,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0074-99,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP UNIMED SALTO-ITU,ROD JOSE NELSON SCHINCARIOL,SN,,CANJICA,ITU,,Brasil,42272,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0075-70,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,TERR ROTARY 1350,AV ROTARY,1350,,VILA DAS BANDEIRAS,GUARULHOS,,Brasil,472183,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0076-50,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,HOSP REFERENCIA DA SAUDE DA MULHER - SP,AV RIO BRANCO,1080,,CAMPOS ELISEOS,SÃO PAULO ,,Brasil,74174894,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0077-31,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SHOP CONTINENTAL,AV LEAO MACHADO,100,,PARQUE CONTINENTAL,SÃO PAULO ,,Brasil,74649973,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0078-12,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SHOP JARAGUA ARARAQUARA,AV ALBERTO BENASSI,2270,,JARDIM BANDEIRANTES,ARARAQUARA,,Brasil,EM ANDAMENTO,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0079-01,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,TERR ANDRADE NEVES,AV ANDRADE NEVES,327,,CENTRO,CAMPINAS,,Brasil,8241635,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0080-37,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SHOP JARAGUA INDAIATUBA,R QUINZE DE NOVEMBRO,1200,,CENTRO,INDAIATUBA,,Brasil,EM ANDAMENTO,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0081-18,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,ED COM NASA BUSINESS STYLE,AV 136,761,,SET SUL,GOIÂNIA,,Brasil,EM ANDAMENTO,,52.23-1-00,,Lucro Real,,,,,,
01.808.151/0082-07,HORA PARK SISTEMA DE ESTACIONAMENTO ROTATIVO LTDA,SHOP SIDER - VOLTA REDONDA,R 12,300,,VILA SANTA CECILIA,VOLTA REDONDA,,Brasil,EM ANDAMENTO,,52.23-1-00,,Lucro Real,,,,,,
18938147000192,EWS  ESTACIONAMENTOS SALVADOR S/A,AERO SALVADOR - WP,PC GAGO COUTINHO,SN,ESCRITORIO DO, EDIF, GARAGE: SALA 1,,SAO CRISTOVAO,SALVADOR,2927408,BA,41510-045,,Brasil,47056800171,,52.23-1-00,,Lucro Real
3474338000173,ESTACIONAMENTOS CINELANDIA S.A.  ,ORG PUB GARAGEM CINELANDIA - CIN,PC MAHATMA GANDHI,,,CINELANDIA,RIO DE JANEIRO,,Brasil,2840014,,52.23-1-00,,Lucro Presumido,,,,,,
